"plan_type","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"CDHP","Inpatient","SNF",2014,"5.385","0.33","6,427.51","0.838",0,0,0
"CDHP","Inpatient","SNF",2015,"4.894","0.296","5,998.94","0.816",-0.091,-0.067,-0.026
"CDHP","Inpatient","SNF",2016,"4.735","0.233","6,335.51","0.747",-0.033,0.056,-0.084
"CDHP","Inpatient","SNF",2017,"4.532","0.258","5,963.95","0.76",-0.043,-0.059,0.017
"CDHP","Inpatient","Substance Use",2014,"11.676","2.06","8,991.08","1.299",0,0,0
"CDHP","Inpatient","Substance Use",2015,"12.96","2.442","9,600.82","1.35",0.11,0.068,0.039
"CDHP","Inpatient","Substance Use",2016,"15.772","2.775","10,590.41","1.489",0.217,0.103,0.103
"CDHP","Inpatient","Substance Use",2017,"18.894","3.107","12,092.03","1.562",0.198,0.142,0.049
"CDHP","Inpatient","Surgical",2014,"437.209","14.881","37,740.22","11.585",0,0,0
"CDHP","Inpatient","Surgical",2015,"440.659","14.298","39,004.56","11.298",0.008,0.034,-0.025
"CDHP","Inpatient","Surgical",2016,"473.022","12.478","40,528.63","11.671",0.073,0.039,0.033
"CDHP","Inpatient","Surgical",2017,"487.707","11.829","42,627.43","11.441",0.031,0.052,-0.02
"CDHP","Outpatient","All Outpatient",2014,"1,281.95","315.954","498.534","2,571.44",0,0,0
"CDHP","Outpatient","All Outpatient",2015,"1,329.81","325.754","510.726","2,603.76",0.037,0.024,0.013
"CDHP","Outpatient","All Outpatient",2016,"1,413.93","340.493","526.56","2,685.23",0.063,0.03,0.032
"CDHP","Outpatient","All Outpatient",2017,"1,489.03","352.558","558.059","2,668.23",0.053,0.06,-0.006
"CDHP","Outpatient","All Outpatient Procedures",2014,"475.952","121.627","208.767","2,279.82",0,0,0
"CDHP","Outpatient","All Outpatient Procedures",2015,"489.919","123.571","210.378","2,328.76",0.029,0.008,0.021
"CDHP","Outpatient","All Outpatient Procedures",2016,"520.526","129.559","213.53","2,437.72",0.062,0.015,0.047
"CDHP","Outpatient","All Outpatient Procedures",2017,"542.68","133.102","224.592","2,416.29",0.043,0.052,-0.009
"CDHP","Outpatient","Ambulance",2014,"27.895","4.937","643.928","43.32",0,0,0
"CDHP","Outpatient","Ambulance",2015,"29.47","5.079","672.129","43.845",0.056,0.044,0.012
"CDHP","Outpatient","Ambulance",2016,"31.88","5.197","699.032","45.606",0.082,0.04,0.04
"CDHP","Outpatient","Ambulance",2017,"33.132","5.221","722.609","45.851",0.039,0.034,0.005
"CDHP","Outpatient","DME",2014,"41.307","12.977","139.056","297.055",0,0,0
"CDHP","Outpatient","DME",2015,"43.113","13.414","138.281","311.779",0.044,-0.006,0.05
"CDHP","Outpatient","DME",2016,"45.292","14.05","137.784","328.716",0.051,-0.004,0.054
"CDHP","Outpatient","DME",2017,"46.469","14.305","139.404","333.344",0.026,0.012,0.014
"CDHP","Outpatient","Lab",2014,"66.185","23.84","66.15","1,000.54",0,0,0
"CDHP","Outpatient","Lab",2015,"65.738","23.593","63.888","1,028.95",-0.007,-0.034,0.028
"CDHP","Outpatient","Lab",2016,"73.572","25.528","65.304","1,126.61",0.119,0.022,0.095
"CDHP","Outpatient","Lab",2017,"74.813","26.915","64.209","1,165.15",0.017,-0.017,0.034
"CDHP","Outpatient","Other Outpatient",2014,"159.638","31.93","274.986","580.532",0,0,0
"CDHP","Outpatient","Other Outpatient",2015,"168.734","33.111","284.046","594.038",0.057,0.033,0.023
"CDHP","Outpatient","Other Outpatient",2016,"179.285","34.924","284.814","629.48",0.063,0.003,0.06
"CDHP","Outpatient","Other Outpatient",2017,"190.783","36.186","294.788","647.188",0.064,0.035,0.028
"CDHP","Outpatient","Radiology",2014,"180.927","47.943","504.85","358.377",0,0,0
"CDHP","Outpatient","Radiology",2015,"182.864","48.374","515.543","354.702",0.011,0.021,-0.01
"CDHP","Outpatient","Radiology",2016,"190.498","49.859","531.203","358.617",0.042,0.03,0.011
"CDHP","Outpatient","Radiology",2017,"197.483","50.474","609.341","324.092",0.037,0.147,-0.096
"CDHP","Outpatient","All Outpatient Visits",2014,"805.999","194.327","2,763.83","291.624",0,0,0
"CDHP","Outpatient","All Outpatient Visits",2015,"839.891","202.183","2,856.78","293.999",0.042,0.034,0.008
"CDHP","Outpatient","All Outpatient Visits",2016,"893.405","210.934","2,969.12","300.899",0.064,0.039,0.023
"CDHP","Outpatient","All Outpatient Visits",2017,"946.349","219.456","3,161.07","299.376",0.059,0.065,-0.005
"CDHP","Outpatient","ER",2014,"282.668","110.656","1,732.45","163.161",0,0,0
"CDHP","Outpatient","ER",2015,"302.309","117.684","1,809.76","167.044",0.069,0.045,0.024
"CDHP","Outpatient","ER",2016,"327.753","126.773","1,888.92","173.513",0.084,0.044,0.039
"CDHP","Outpatient","ER",2017,"350.678","134.754","1,994.51","175.822",0.07,0.056,0.013
"CDHP","Outpatient","Observation",2014,"37.564","5.038","1,952.04","19.244",0,0,0
"CDHP","Outpatient","Observation",2015,"38.606","4.969","2,027.20","19.044",0.028,0.038,-0.01
"CDHP","Outpatient","Observation",2016,"38.336","4.907","2,049.92","18.701",-0.007,0.011,-0.018
"CDHP","Outpatient","Observation",2017,"43.811","5.221","2,243.28","19.53",0.143,0.094,0.044
"CDHP","Outpatient","Surgery",2014,"485.766","78.633","4,447.62","109.219",0,0,0
"CDHP","Outpatient","Surgery",2015,"498.976","79.531","4,550.00","109.665",0.027,0.023,0.004
"CDHP","Outpatient","Surgery",2016,"527.315","79.254","4,712.45","111.898",0.057,0.036,0.02
"CDHP","Outpatient","Surgery",2017,"551.86","79.48","4,996.18","110.456",0.047,0.06,-0.013
"CDHP","Professional","Administered Drugs",2014,"160.409","10.111","494.57","324.34",0,0,0
"CDHP","Professional","Administered Drugs",2015,"176.818","10.518","563.33","313.879",0.102,0.139,-0.032
"CDHP","Professional","Administered Drugs",2016,"198.55","10.638","656.183","302.583",0.123,0.165,-0.036
"CDHP","Professional","Administered Drugs",2017,"225.665","11.755","740.98","304.55",0.137,0.129,0.007
"CDHP","Professional","Administration of Drugs",2014,"28.027","3.129","44.863","624.729",0,0,0
"CDHP","Professional","Administration of Drugs",2015,"28.442","3.127","43.858","648.508",0.015,-0.022,0.038
"CDHP","Professional","Administration of Drugs",2016,"30.07","3.134","44.823","670.852",0.057,0.022,0.034
"CDHP","Professional","Administration of Drugs",2017,"30.804","3.238","46.295","665.373",0.024,0.033,-0.008
"CDHP","Professional","All Professional Services",2014,"1,536.74","504.665","103.737","14,813.79",0,0,0
"CDHP","Professional","All Professional Services",2015,"1,585.85","516.853","105.914","14,972.97",0.032,0.021,0.011
"CDHP","Professional","All Professional Services",2016,"1,667.25","529.615","108.931","15,305.53",0.051,0.028,0.022
"CDHP","Professional","All Professional Services",2017,"1,730.81","541.325","112.599","15,371.49",0.038,0.034,0.004
"CDHP","Professional","Anesthesia",2014,"96.265","17.7","737.433","130.541",0,0,0
"CDHP","Professional","Anesthesia",2015,"99.468","17.94","750.879","132.468",0.033,0.018,0.015
"CDHP","Professional","Anesthesia",2016,"104.313","17.443","763.006","136.713",0.049,0.016,0.032
"CDHP","Professional","Anesthesia",2017,"107.952","17.663","773.778","139.512",0.035,0.014,0.02
"CDHP","Professional","ER",2014,"67.918","22.702","392.645","172.975",0,0,0
"CDHP","Professional","ER",2015,"72.8","24.75","410.686","177.266",0.072,0.046,0.025
"CDHP","Professional","ER",2016,"78.459","26.191","420.216","186.71",0.078,0.023,0.053
"CDHP","Professional","ER",2017,"81.966","26.742","428.513","191.279",0.045,0.02,0.024
"CDHP","Professional","Immunizations",2014,"33.039","0.517","62.1","532.032",0,0,0
"CDHP","Professional","Immunizations",2015,"34.811","0.472","63.574","547.574",0.054,0.024,0.029
"CDHP","Professional","Immunizations",2016,"38.988","0.454","64.62","603.338",0.12,0.016,0.102
"CDHP","Professional","Immunizations",2017,"39.627","0.474","66.588","595.105",0.016,0.03,-0.014
"CDHP","Professional","Lab",2014,"139.703","58.429","32.211","4,337.08",0,0,0
"CDHP","Professional","Lab",2015,"143.846","59.093","31.755","4,529.91",0.03,-0.014,0.044
"CDHP","Professional","Lab",2016,"134.553","56.404","30.213","4,453.44",-0.065,-0.049,-0.017
"CDHP","Professional","Lab",2017,"133.651","56.145","29.455","4,537.39",-0.007,-0.025,0.019
"CDHP","Professional","Office Visits",2014,"349.198","160.552","111.296","3,137.57",0,0,0
"CDHP","Professional","Office Visits",2015,"358.98","165.099","113.173","3,171.96",0.028,0.017,0.011
"CDHP","Professional","Office Visits",2016,"375.386","171.257","115.527","3,249.33",0.046,0.021,0.024
"CDHP","Professional","Office Visits",2017,"388.648","176.76","117.89","3,296.70",0.035,0.02,0.015
"CDHP","Professional","Other Services",2014,"166.972","61.718","96.83","1,724.38",0,0,0
"CDHP","Professional","Other Services",2015,"171.722","63.72","98.236","1,748.06",0.028,0.015,0.014
"CDHP","Professional","Other Services",2016,"189.217","68.021","103.108","1,835.12",0.102,0.05,0.05
"CDHP","Professional","Other Services",2017,"196.179","69.467","104.562","1,876.20",0.037,0.014,0.022
"CDHP","Professional","Physical Medicine",2014,"67.004","32.922","39.82","1,682.69",0,0,0
"CDHP","Professional","Physical Medicine",2015,"68.464","33.753","39.899","1,715.93",0.022,0.002,0.02
"CDHP","Professional","Physical Medicine",2016,"72.602","35.553","42.363","1,713.81",0.06,0.062,-0.001
"CDHP","Professional","Physical Medicine",2017,"73.424","35.627","43.375","1,692.77",0.011,0.024,-0.012
"CDHP","Professional","Psychiatry",2014,"36.946","19.02","93.202","396.404",0,0,0
"CDHP","Professional","Psychiatry",2015,"37.673","19.168","94.309","399.465",0.02,0.012,0.008
"CDHP","Professional","Psychiatry",2016,"41.375","20.946","96.258","429.836",0.098,0.021,0.076
"CDHP","Professional","Psychiatry",2017,"45.141","22.52","96.613","467.233",0.091,0.004,0.087
"CDHP","Professional","Radiology",2014,"132.326","48.813","117.708","1,124.19",0,0,0
"CDHP","Professional","Radiology",2015,"132.408","49.498","118.692","1,115.56",0.001,0.008,-0.008
"CDHP","Professional","Radiology",2016,"134.315","49.772","120.215","1,117.29",0.014,0.013,0.002
"CDHP","Professional","Radiology",2017,"138.135","50.413","134.905","1,023.94",0.028,0.122,-0.084
"CDHP","Professional","Surgical",2014,"258.931","69.052","413.052","626.873",0,0,0
"CDHP","Professional","Surgical",2015,"260.418","69.714","418.158","622.773",0.006,0.012,-0.007
"CDHP","Professional","Surgical",2016,"269.426","69.801","426.403","631.859",0.035,0.02,0.015
"CDHP","Professional","Surgical",2017,"269.619","70.522","430.728","625.962",0.001,0.01,-0.009
"CDHP","Prescription Drugs","All Prescription Drugs",2014,"713.34","189.821","85.714","8,322.32",0,0,0
"CDHP","Prescription Drugs","All Prescription Drugs",2015,"765.865","188.108","92.811","8,251.88",0.074,0.083,-0.008
"CDHP","Prescription Drugs","All Prescription Drugs",2016,"805.986","186.448","98.372","8,193.22",0.052,0.06,-0.007
"CDHP","Prescription Drugs","All Prescription Drugs",2017,"858.779","182.796","102.679","8,363.76",0.066,0.044,0.021
"CDHP","Prescription Drugs","All Prescription Drugs",2014,"506.018","98.537","380.269","1,330.68",0,0,0
"CDHP","Prescription Drugs","All Prescription Drugs",2015,"558.341","97.474","467.255","1,194.94",0.103,0.229,-0.102
"CDHP","Prescription Drugs","All Prescription Drugs",2016,"597.502","95.301","541.399","1,103.63",0.07,0.159,-0.076
"CDHP","Prescription Drugs","All Prescription Drugs",2017,"649.15","91.334","671.129","967.25",0.086,0.24,-0.124
"CDHP","Prescription Drugs","All Prescription Drugs",2014,"188.593","87.694","27.542","6,847.49",0,0,0
"CDHP","Prescription Drugs","All Prescription Drugs",2015,"191.974","87.739","27.761","6,915.27",0.018,0.008,0.01
"CDHP","Prescription Drugs","All Prescription Drugs",2016,"198.453","89.05","28.489","6,966.04",0.034,0.026,0.007
"CDHP","Prescription Drugs","All Prescription Drugs",2017,"199.219","89.477","27.397","7,271.48",0.004,-0.038,0.044
"CDHP","Prescription Drugs","All Prescription Drugs",2014,"18.729","3.59","129.936","144.143",0,0,0
"CDHP","Prescription Drugs","All Prescription Drugs",2015,"15.55","2.896","109.761","141.671",-0.17,-0.155,-0.017
"CDHP","Prescription Drugs","All Prescription Drugs",2016,"10.031","2.097","81.188","123.555",-0.355,-0.26,-0.128
"CDHP","Prescription Drugs","All Prescription Drugs",2017,"10.411","1.986","83.267","125.028",0.038,0.026,0.012
"CDHP","Prescription Drugs","Anti-Infectives",2014,"83.243","18.916","224.273","371.168",0,0,0
"CDHP","Prescription Drugs","Anti-Infectives",2015,"99.541","20.253","272.838","364.837",0.196,0.217,-0.017
"CDHP","Prescription Drugs","Anti-Infectives",2016,"91.166","19.924","256.963","354.782",-0.084,-0.058,-0.028
"CDHP","Prescription Drugs","Anti-Infectives",2017,"89.514","19.733","254.829","351.271",-0.018,-0.008,-0.01
"CDHP","Prescription Drugs","Anti-Infectives",2014,"63.768","7.941","1,705.72","37.384",0,0,0
"CDHP","Prescription Drugs","Anti-Infectives",2015,"79.175","8.889","2,287.14","34.617",0.242,0.341,-0.074
"CDHP","Prescription Drugs","Anti-Infectives",2016,"70.481","8.426","2,215.13","31.818",-0.11,-0.031,-0.081
"CDHP","Prescription Drugs","Anti-Infectives",2017,"67.511","7.258","2,294.99","29.417",-0.042,0.036,-0.075
"CDHP","Prescription Drugs","Anti-Infectives",2014,"19.208","10.934","57.612","333.398",0,0,0
"CDHP","Prescription Drugs","Anti-Infectives",2015,"20.25","11.344","61.361","330.018",0.054,0.065,-0.01
"CDHP","Prescription Drugs","Anti-Infectives",2016,"20.671","11.495","64.016","322.902",0.021,0.043,-0.022
"CDHP","Prescription Drugs","Anti-Infectives",2017,"22","12.473","68.36","321.824",0.064,0.068,-0.003
"CDHP","Prescription Drugs","Anti-Infectives",2014,"0.268","0.042","694.103","0.386",0,0,0
"CDHP","Prescription Drugs","Anti-Infectives",2015,"0.116","0.02","577.441","0.202",-0.565,-0.168,-0.477
"CDHP","Prescription Drugs","Anti-Infectives",2016,"0.014","0.003","227.844","0.062",-0.879,-0.605,-0.694
"CDHP","Prescription Drugs","Anti-Infectives",2017,"0.003","0.001","102.915","0.03",-0.783,-0.548,-0.52
"CDHP","Prescription Drugs","Antihistamines",2014,"0.908","0.417","33.197","27.34",0,0,0
"CDHP","Prescription Drugs","Antihistamines",2015,"0.746","0.382","28.361","26.312",-0.178,-0.146,-0.038
"CDHP","Prescription Drugs","Antihistamines",2016,"0.656","0.38","22.59","29.031",-0.121,-0.203,0.103
"CDHP","Prescription Drugs","Antihistamines",2017,"0.608","0.343","22.099","27.511",-0.073,-0.022,-0.052
"CDHP","Prescription Drugs","Antihistamines",2014,"0.089","0.036","93.642","0.951",0,0,0
"CDHP","Prescription Drugs","Antihistamines",2015,"0.071","0.027","119.227","0.594",-0.205,0.273,-0.375
"CDHP","Prescription Drugs","Antihistamines",2016,"0.063","0.025","107.636","0.582",-0.115,-0.097,-0.02
"CDHP","Prescription Drugs","Antihistamines",2017,"0.055","0.023","94.878","0.582",-0.118,-0.119,0.001
"CDHP","Prescription Drugs","Antihistamines",2014,"0.662","0.372","25.171","26.295",0,0,0
"CDHP","Prescription Drugs","Antihistamines",2015,"0.605","0.35","23.579","25.664",-0.086,-0.063,-0.024
"CDHP","Prescription Drugs","Antihistamines",2016,"0.592","0.355","20.829","28.433",-0.021,-0.117,0.108
"CDHP","Prescription Drugs","Antihistamines",2017,"0.552","0.32","20.517","26.921",-0.067,-0.015,-0.053
"CDHP","Prescription Drugs","Antihistamines",2014,"0.157","0.009","1,677.29","0.093",0,0,0
"CDHP","Prescription Drugs","Antihistamines",2015,"0.07","0.005","1,285.63","0.055",-0.551,-0.234,-0.415
"CDHP","Prescription Drugs","Antihistamines",2016,"0.001","0.001","59.423","0.015",-0.987,-0.954,-0.717
"CDHP","Prescription Drugs","Antihistamines",2017,"0","0","53.312","0.007",-0.614,-0.103,-0.57
"CDHP","Prescription Drugs","Autonomic",2014,"19.129","7.346","77.276","247.54",0,0,0
"CDHP","Prescription Drugs","Autonomic",2015,"21.55","7.59","85.811","251.134",0.127,0.11,0.015
"CDHP","Prescription Drugs","Autonomic",2016,"23.273","7.963","94.011","247.56",0.08,0.096,-0.014
"CDHP","Prescription Drugs","Autonomic",2017,"22.542","7.492","89.97","250.55",-0.031,-0.043,0.012
"CDHP","Prescription Drugs","Autonomic",2014,"10.519","3.895","104.594","100.569",0,0,0
"CDHP","Prescription Drugs","Autonomic",2015,"11.605","3.813","113.698","102.068",0.103,0.087,0.015
"CDHP","Prescription Drugs","Autonomic",2016,"11.754","3.831","119.308","98.522",0.013,0.049,-0.035
"CDHP","Prescription Drugs","Autonomic",2017,"14.751","4.375","148.647","99.232",0.255,0.246,0.007
"CDHP","Prescription Drugs","Autonomic",2014,"8.224","3.393","56.138","146.501",0,0,0
"CDHP","Prescription Drugs","Autonomic",2015,"9.822","3.757","65.954","148.921",0.194,0.175,0.017
"CDHP","Prescription Drugs","Autonomic",2016,"11.51","4.129","77.248","149.004",0.172,0.171,0.001
"CDHP","Prescription Drugs","Autonomic",2017,"7.791","3.117","51.488","151.311",-0.323,-0.333,0.015
"CDHP","Prescription Drugs","Autonomic",2014,"0.386","0.059","820.608","0.47",0,0,0
"CDHP","Prescription Drugs","Autonomic",2015,"0.123","0.02","848.202","0.145",-0.68,0.034,-0.691
"CDHP","Prescription Drugs","Autonomic",2016,"0.009","0.003","252.973","0.035",-0.928,-0.702,-0.76
"CDHP","Prescription Drugs","Autonomic",2017,"0.001","0","107.725","0.006",-0.925,-0.574,-0.825
"CDHP","Prescription Drugs","Bio Response Modifiers",2014,"43.748","2.764","5,226.98","8.37",0,0,0
"CDHP","Prescription Drugs","Bio Response Modifiers",2015,"47.904","2.967","5,765.99","8.308",0.095,0.103,-0.007
"CDHP","Prescription Drugs","Bio Response Modifiers",2016,"51.675","2.896","6,412.78","8.058",0.079,0.112,-0.03
"CDHP","Prescription Drugs","Bio Response Modifiers",2017,"57.701","2.941","6,953.77","8.298",0.117,0.084,0.03
"CDHP","Prescription Drugs","Bio Response Modifiers",2014,"43.748","2.764","5,226.98","8.37",0,0,0
"CDHP","Prescription Drugs","Bio Response Modifiers",2015,"47.795","2.964","5,766.60","8.288",0.092,0.103,-0.01
"CDHP","Prescription Drugs","Bio Response Modifiers",2016,"51.537","2.886","6,415.68","8.033",0.078,0.113,-0.031
"CDHP","Prescription Drugs","Bio Response Modifiers",2017,"57.349","2.929","6,966.35","8.232",0.113,0.086,0.025
"CDHP","Prescription Drugs","Bio Response Modifiers",2015,"0.109","0.003","5,511.84","0.02",0,0,0
"CDHP","Prescription Drugs","Bio Response Modifiers",2016,"0.138","0.01","5,482.45","0.025",0.264,-0.005,0.27
"CDHP","Prescription Drugs","Bio Response Modifiers",2017,"0.352","0.012","5,373.89","0.066",1.562,-0.02,1.614
"CDHP","Prescription Drugs","Blood",2014,"17.521","2.053","210.101","83.395",0,0,0
"CDHP","Prescription Drugs","Blood",2015,"19.087","2.309","226.757","84.173",0.089,0.079,0.009
"CDHP","Prescription Drugs","Blood",2016,"22.204","2.716","268.127","82.813",0.163,0.182,-0.016
"CDHP","Prescription Drugs","Blood",2017,"27.052","3.212","318.382","84.966",0.218,0.187,0.026
"CDHP","Prescription Drugs","Blood",2014,"14.038","1.251","739.556","18.982",0,0,0
"CDHP","Prescription Drugs","Blood",2015,"16.338","1.64","715.464","22.836",0.164,-0.033,0.203
"CDHP","Prescription Drugs","Blood",2016,"19.684","2.113","744.181","26.451",0.205,0.04,0.158
"CDHP","Prescription Drugs","Blood",2017,"24.511","2.657","795.004","30.832",0.245,0.068,0.166
"CDHP","Prescription Drugs","Blood",2014,"3.448","0.8","53.552","64.395",0,0,0
"CDHP","Prescription Drugs","Blood",2015,"2.743","0.669","44.733","61.33",-0.204,-0.165,-0.048
"CDHP","Prescription Drugs","Blood",2016,"2.52","0.602","44.711","56.36",-0.082,-0.001,-0.081
"CDHP","Prescription Drugs","Blood",2017,"2.54","0.555","46.928","54.135",0.008,0.05,-0.039
"CDHP","Prescription Drugs","Blood",2014,"0.035","0.002","1,876.40","0.019",0,0,0
"CDHP","Prescription Drugs","Blood",2015,"0.005","0.001","710.135","0.007",-0.861,-0.622,-0.633
"CDHP","Prescription Drugs","Blood",2016,"0","0","58.405","0.002",-0.976,-0.918,-0.71
"CDHP","Prescription Drugs","Blood",2017,"0","0","2,357.95","0",-0.311,39.373,-0.983
"CDHP","Prescription Drugs","Cardiovascular",2014,"69.166","26.565","32.426","2,133.02",0,0,0
"CDHP","Prescription Drugs","Cardiovascular",2015,"63.639","23.829","29.934","2,126.01",-0.08,-0.077,-0.003
"CDHP","Prescription Drugs","Cardiovascular",2016,"59.258","22.472","28.188","2,102.27",-0.069,-0.058,-0.011
"CDHP","Prescription Drugs","Cardiovascular",2017,"49.543","19.697","23.063","2,148.20",-0.164,-0.182,0.022
"CDHP","Prescription Drugs","Cardiovascular",2014,"39.896","12.476","174.584","228.521",0,0,0
"CDHP","Prescription Drugs","Cardiovascular",2015,"36.787","10.556","201.469","182.593",-0.078,0.154,-0.201
"CDHP","Prescription Drugs","Cardiovascular",2016,"31.185","8.972","234.096","133.215",-0.152,0.162,-0.27
"CDHP","Prescription Drugs","Cardiovascular",2017,"18.396","5.268","273.356","67.297",-0.41,0.168,-0.495
"CDHP","Prescription Drugs","Cardiovascular",2014,"29.127","14.053","15.297","1,904.05",0,0,0
"CDHP","Prescription Drugs","Cardiovascular",2015,"26.747","13.251","13.765","1,943.17",-0.082,-0.1,0.021
"CDHP","Prescription Drugs","Cardiovascular",2016,"28.057","13.496","14.25","1,968.98",0.049,0.035,0.013
"CDHP","Prescription Drugs","Cardiovascular",2017,"31.144","14.427","14.967","2,080.86",0.11,0.05,0.057
"CDHP","Prescription Drugs","Cardiovascular",2014,"0.144","0.036","322.053","0.446",0,0,0
"CDHP","Prescription Drugs","Cardiovascular",2015,"0.105","0.022","432.808","0.242",-0.269,0.344,-0.456
"CDHP","Prescription Drugs","Cardiovascular",2016,"0.016","0.004","204.71","0.078",-0.848,-0.527,-0.678
"CDHP","Prescription Drugs","Cardiovascular",2017,"0.003","0.001","81.844","0.038",-0.807,-0.6,-0.517
"CDHP","Prescription Drugs","Central Nervous System",2014,"130.789","47.689","62.19","2,103.05",0,0,0
"CDHP","Prescription Drugs","Central Nervous System",2015,"122.284","45.968","58.514","2,089.82",-0.065,-0.059,-0.006
"CDHP","Prescription Drugs","Central Nervous System",2016,"121.411","45.853","58.025","2,092.41",-0.007,-0.008,0.001
"CDHP","Prescription Drugs","Central Nervous System",2017,"115.559","44.171","53.928","2,142.86",-0.048,-0.071,0.024
"CDHP","Prescription Drugs","Central Nervous System",2014,"69.495","18.311","362.9","191.5",0,0,0
"CDHP","Prescription Drugs","Central Nervous System",2015,"63.018","17.207","399.551","157.721",-0.093,0.101,-0.176
"CDHP","Prescription Drugs","Central Nervous System",2016,"62.892","16.851","431.835","145.639",-0.002,0.081,-0.077
"CDHP","Prescription Drugs","Central Nervous System",2017,"60.046","15.651","477.083","125.861",-0.045,0.105,-0.136
"CDHP","Prescription Drugs","Central Nervous System",2014,"57.376","28.885","30.059","1,908.80",0,0,0
"CDHP","Prescription Drugs","Central Nervous System",2015,"58.003","28.611","30.035","1,931.14",0.011,-0.001,0.012
"CDHP","Prescription Drugs","Central Nervous System",2016,"58.473","28.992","30.039","1,946.59",0.008,0,0.008
"CDHP","Prescription Drugs","Central Nervous System",2017,"55.502","28.516","27.518","2,016.92",-0.051,-0.084,0.036
"CDHP","Prescription Drugs","Central Nervous System",2014,"3.917","0.492","1,421.40","2.756",0,0,0
"CDHP","Prescription Drugs","Central Nervous System",2015,"1.264","0.149","1,314.95","0.961",-0.677,-0.075,-0.651
"CDHP","Prescription Drugs","Central Nervous System",2016,"0.046","0.01","250.442","0.183",-0.964,-0.81,-0.81
"CDHP","Prescription Drugs","Central Nervous System",2017,"0.012","0.003","146.629","0.079",-0.748,-0.415,-0.57
"CDHP","Prescription Drugs","Chemotherapy",2014,"27.634","1.681","595.311","46.42",0,0,0
"CDHP","Prescription Drugs","Chemotherapy",2015,"33.465","1.682","709.527","47.166",0.211,0.192,0.016
"CDHP","Prescription Drugs","Chemotherapy",2016,"40.084","1.713","832.187","48.167",0.198,0.173,0.021
"CDHP","Prescription Drugs","Chemotherapy",2017,"49.075","1.566","1,121.86","43.744",0.224,0.348,-0.092
"CDHP","Prescription Drugs","Chemotherapy",2014,"23.389","0.875","7,228.00","3.236",0,0,0
"CDHP","Prescription Drugs","Chemotherapy",2015,"28.977","0.9","8,305.72","3.489",0.239,0.149,0.078
"CDHP","Prescription Drugs","Chemotherapy",2016,"36.124","0.958","8,860.58","4.077",0.247,0.067,0.169
