"Age","Gender","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"0-3","Female","IP","Surgical",2017,417.23,3.133,106806.12,3.906,-0.067,0.069,-0.127
"0-3","Female","OP","All Outpatient",2014,667.54,151.513,441.915,1510.57,0,0,0
"0-3","Female","OP","All Outpatient",2015,709.68,164.616,458.113,1549.14,0.063,0.037,0.026
"0-3","Female","OP","All Outpatient",2016,743.88,177.327,469.753,1583.55,0.048,0.024,0.024
"0-3","Female","OP","All Outpatient",2017,774.78,187.95,495.262,1564.39,0.042,0.054,-0.011
"0-3","Female","OP","All Outpatient Procedures",2014,232.59,43.658,192.773,1206.54,0,0,0
"0-3","Female","OP","All Outpatient Procedures",2015,243.91,45.532,195.923,1244.92,0.049,0.016,0.032
"0-3","Female","OP","All Outpatient Procedures",2016,254.43,49.064,193.674,1313.69,0.043,-0.011,0.055
"0-3","Female","OP","All Outpatient Procedures",2017,262.02,51.676,197.327,1327.83,0.03,0.019,0.011
"0-3","Female","OP","Ambulance",2014,36.44,3.839,1047.92,34.775,0,0,0
"0-3","Female","OP","Ambulance",2015,39.9,4.194,1122.03,35.557,0.095,0.071,0.022
"0-3","Female","OP","Ambulance",2016,45.34,4.503,1206.84,37.57,0.136,0.076,0.057
"0-3","Female","OP","Ambulance",2017,47.42,4.577,1292.22,36.695,0.046,0.071,-0.023
"0-3","Female","OP","DME",2014,20.08,4.607,102.597,195.706,0,0,0
"0-3","Female","OP","DME",2015,21.09,4.633,103.871,203.039,0.05,0.012,0.037
"0-3","Female","OP","DME",2016,20.4,4.785,90.45,225.508,-0.033,-0.129,0.111
"0-3","Female","OP","DME",2017,20.75,4.483,90.347,229.631,0.017,-0.001,0.018
"0-3","Female","OP","Lab",2014,29.75,7.322,66.544,447.054,0,0,0
"0-3","Female","OP","Lab",2015,30.13,7.426,60.172,500.742,0.013,-0.096,0.12
"0-3","Female","OP","Lab",2016,31.12,7.937,58.792,529.305,0.033,-0.023,0.057
"0-3","Female","OP","Lab",2017,31.3,8.792,58.849,531.839,0.006,0.001,0.005
"0-3","Female","OP","Other Outpatient",2014,100.17,16.963,232.617,430.618,0,0,0
"0-3","Female","OP","Other Outpatient",2015,105.96,17.902,239.492,442.443,0.058,0.03,0.027
"0-3","Female","OP","Other Outpatient",2016,108.46,19.512,239.946,451.996,0.024,0.002,0.022
"0-3","Female","OP","Other Outpatient",2017,112.63,20.876,242.147,465.124,0.038,0.009,0.029
"0-3","Female","OP","Radiology",2014,46.15,10.928,469.08,98.386,0,0,0
"0-3","Female","OP","Radiology",2015,46.83,11.377,480.124,97.54,0.015,0.024,-0.009
"0-3","Female","OP","Radiology",2016,49.12,12.327,483.551,101.572,0.049,0.007,0.041
"0-3","Female","OP","Radiology",2017,49.93,12.947,505.139,98.837,0.017,0.045,-0.027
"0-3","Female","OP","All Outpatient Visits",2014,434.95,107.854,1430.64,304.029,0,0,0
"0-3","Female","OP","All Outpatient Visits",2015,465.78,119.083,1497.81,310.971,0.071,0.047,0.023
"0-3","Female","OP","All Outpatient Visits",2016,489.45,128.263,1561.67,313.416,0.051,0.043,0.008
"0-3","Female","OP","All Outpatient Visits",2017,512.76,136.274,1673.72,306.362,0.048,0.072,-0.023
"0-3","Female","OP","ER",2014,233.76,72.189,937.98,249.214,0,0,0
"0-3","Female","OP","ER",2015,250.05,79.571,990.292,252.497,0.07,0.056,0.013
"0-3","Female","OP","ER",2016,262.78,85.185,1045.08,251.443,0.051,0.055,-0.004
"0-3","Female","OP","ER",2017,280.19,92.683,1092.91,256.37,0.066,0.046,0.02
"0-3","Female","OP","Observation",2014,15.58,3.113,1625.86,9.581,0,0,0
"0-3","Female","OP","Observation",2015,16.59,3.29,1749.76,9.479,0.065,0.076,-0.011
"0-3","Female","OP","Observation",2016,16.25,3.437,1701.21,9.553,-0.02,-0.028,0.008
"0-3","Female","OP","Observation",2017,18.58,3.715,1861.65,9.982,0.143,0.094,0.045
"0-3","Female","OP","Surgery",2014,185.62,32.553,4103.57,45.233,0,0,0
"0-3","Female","OP","Surgery",2015,199.14,36.222,4265.36,46.688,0.073,0.039,0.032
"0-3","Female","OP","Surgery",2016,210.42,39.641,4432.58,47.472,0.057,0.039,0.017
"0-3","Female","OP","Surgery",2017,213.99,39.876,4779.99,44.768,0.017,0.078,-0.057
"0-3","Female","PH","Administered Drugs",2014,9.25,0.474,82.178,112.567,0,0,0
"0-3","Female","PH","Administered Drugs",2015,11.03,0.448,103.694,106.357,0.192,0.262,-0.055
"0-3","Female","PH","Administered Drugs",2016,10.21,0.518,87.11,117.164,-0.075,-0.16,0.102
"0-3","Female","PH","Administered Drugs",2017,15.61,0.504,122.386,127.554,0.53,0.405,0.089
"0-3","Female","PH","Administration of Drugs",2014,147.47,2.157,41.355,3565.92,0,0,0
"0-3","Female","PH","Administration of Drugs",2015,153.48,2.203,43.373,3538.52,0.041,0.049,-0.008
"0-3","Female","PH","Administration of Drugs",2016,161.79,2.196,45.93,3522.55,0.054,0.059,-0.005
"0-3","Female","PH","Administration of Drugs",2017,170.48,2.262,49.802,3423.11,0.054,0.084,-0.028
"0-3","Female","PH","All Professional Services",2014,1794.6,258.756,91.34,19647.56,0,0,0
"0-3","Female","PH","All Professional Services",2015,1878.14,273.96,94.65,19842.95,0.047,0.036,0.01
"0-3","Female","PH","All Professional Services",2016,1985.47,296.749,97.88,20284.79,0.057,0.034,0.022
"0-3","Female","PH","All Professional Services",2017,2097.48,318.426,101.464,20672.16,0.056,0.037,0.019
"0-3","Female","PH","Anesthesia",2014,45.14,7.565,625.924,72.121,0,0,0
"0-3","Female","PH","Anesthesia",2015,48.41,7.999,631.688,76.631,0.072,0.009,0.063
"0-3","Female","PH","Anesthesia",2016,50.45,8.323,645.624,78.145,0.042,0.022,0.02
"0-3","Female","PH","Anesthesia",2017,50,8.728,640.643,78.044,-0.009,-0.008,-0.001
"0-3","Female","PH","ER",2014,191.76,21.265,557.617,343.896,0,0,0
"0-3","Female","PH","ER",2015,208.95,24.271,576.753,362.287,0.09,0.034,0.053
"0-3","Female","PH","ER",2016,224.18,27.648,579.348,386.96,0.073,0.005,0.068
"0-3","Female","PH","ER",2017,237.66,30.726,588.99,403.508,0.06,0.017,0.043
"0-3","Female","PH","Immunizations",2014,337.85,3.065,80.427,4200.7,0,0,0
"0-3","Female","PH","Immunizations",2015,352.85,2.48,85.25,4138.92,0.044,0.06,-0.015
"0-3","Female","PH","Immunizations",2016,369.27,2.386,89.876,4108.6,0.047,0.054,-0.007
"0-3","Female","PH","Immunizations",2017,378.64,2.335,94.295,4015.48,0.025,0.049,-0.023
"0-3","Female","PH","Lab",2014,32.03,8.886,16.673,1921.01,0,0,0
"0-3","Female","PH","Lab",2015,33,9.419,16.141,2044.24,0.03,-0.032,0.064
"0-3","Female","PH","Lab",2016,35.68,10.165,16.281,2191.79,0.081,0.009,0.072
"0-3","Female","PH","Lab",2017,40.09,12.208,15.326,2615.66,0.123,-0.059,0.193
"0-3","Female","PH","Office Visits",2014,605.23,135.222,103.884,5826.02,0,0,0
"0-3","Female","PH","Office Visits",2015,627.42,142.228,107.024,5862.48,0.037,0.03,0.006
"0-3","Female","PH","Office Visits",2016,660.49,152.2,110.354,5985.17,0.053,0.031,0.021
"0-3","Female","PH","Office Visits",2017,694.1,158.424,113.828,6097.81,0.051,0.031,0.019
"0-3","Female","PH","Other Services",2014,303.16,50.034,113.829,2663.28,0,0,0
"0-3","Female","PH","Other Services",2015,315.98,53.487,114.425,2761.45,0.042,0.005,0.037
"0-3","Female","PH","Other Services",2016,337.14,59.893,115.73,2913.17,0.067,0.011,0.055
"0-3","Female","PH","Other Services",2017,371.16,67.762,118.683,3127.3,0.101,0.026,0.074
"0-3","Female","PH","Physical Medicine",2014,18.91,7.848,56.068,337.289,0,0,0
"0-3","Female","PH","Physical Medicine",2015,18.89,8.078,57.826,326.733,-0.001,0.031,-0.031
"0-3","Female","PH","Physical Medicine",2016,19.83,8.516,59.129,335.309,0.049,0.023,0.026
"0-3","Female","PH","Physical Medicine",2017,20.83,9.16,60.432,344.733,0.051,0.022,0.028
"0-3","Female","PH","Psychiatry",2014,1.88,0.591,95.141,19.756,0,0,0
"0-3","Female","PH","Psychiatry",2015,3.19,0.686,91.467,34.915,0.699,-0.039,0.767
"0-3","Female","PH","Psychiatry",2016,5.15,0.891,93.755,54.896,0.612,0.025,0.572
"0-3","Female","PH","Psychiatry",2017,7.09,1.295,97.339,72.802,0.377,0.038,0.326
"0-3","Female","PH","Radiology",2014,20.43,4.933,53.82,379.565,0,0,0
"0-3","Female","PH","Radiology",2015,21,5.139,54.95,382.133,0.028,0.021,0.007
"0-3","Female","PH","Radiology",2016,21.75,5.509,56.017,388.225,0.036,0.019,0.016
"0-3","Female","PH","Radiology",2017,22.87,5.863,57.651,396.765,0.052,0.029,0.022
"0-3","Female","PH","Surgical",2014,81.49,16.717,396.687,205.436,0,0,0
"0-3","Female","PH","Surgical",2015,83.95,17.521,396.258,211.858,0.03,-0.001,0.031
"0-3","Female","PH","Surgical",2016,89.54,18.505,413.746,216.407,0.067,0.044,0.021
"0-3","Female","PH","Surgical",2017,88.95,19.158,414.896,214.392,-0.007,0.003,-0.009
"0-3","Female","RX","All Prescription Drugs",2014,143.84,42.015,103.39,1391.28,0,0,0
"0-3","Female","RX","All Prescription Drugs",2015,144.95,41.705,105.481,1374.2,0.008,0.02,-0.012
"0-3","Female","RX","All Prescription Drugs",2016,151.77,40.818,115.499,1314.01,0.047,0.095,-0.044
"0-3","Female","RX","All Prescription Drugs",2017,160.8,39.251,123.855,1298.32,0.06,0.072,-0.012
"0-3","Female","RX","Anti-Infectives",2014,48.36,16.735,123.845,390.521,0,0,0
"0-3","Female","RX","Anti-Infectives",2015,43.96,16.523,111.572,393.997,-0.091,-0.099,0.009
"0-3","Female","RX","Anti-Infectives",2016,42.09,16.464,109.198,385.434,-0.043,-0.021,-0.022
"0-3","Female","RX","Anti-Infectives",2017,43.07,16.17,113.466,379.608,0.023,0.039,-0.015
"0-3","Female","RX","Antihistamines",2014,0.4,0.246,20.417,19.73,0,0,0
"0-3","Female","RX","Antihistamines",2015,0.39,0.245,19.8,19.538,-0.04,-0.03,-0.01
"0-3","Female","RX","Antihistamines",2016,0.36,0.215,23.028,15.657,-0.068,0.163,-0.199
"0-3","Female","RX","Antihistamines",2017,0.29,0.17,17.709,16.395,-0.195,-0.231,0.047
"0-3","Female","RX","Autonomic",2014,12.45,3.515,141.071,88.279,0,0,0
"0-3","Female","RX","Autonomic",2015,15.02,3.76,171.111,87.798,0.206,0.213,-0.005
"0-3","Female","RX","Autonomic",2016,17.02,3.946,213.42,79.768,0.133,0.247,-0.091
"0-3","Female","RX","Autonomic",2017,15.95,3.635,205.319,77.669,-0.063,-0.038,-0.026
"0-3","Female","RX","Bio Response Modifiers",2014,0.09,0,20539.12,0.005,0,0,0
"0-3","Female","RX","Bio Response Modifiers",2016,0.05,0,5239.46,0.009,0,0,0
"0-3","Female","RX","Blood",2014,0.94,0.036,219.573,4.28,0,0,0
"0-3","Female","RX","Blood",2015,1.07,0.045,252.201,4.249,0.14,0.149,-0.007
"0-3","Female","RX","Blood",2016,1.11,0.043,272.434,4.068,0.034,0.08,-0.043
"0-3","Female","RX","Blood",2017,1.14,0.04,657.111,1.736,0.03,1.412,-0.573
"0-3","Female","RX","Cardiovascular",2014,0.76,0.196,52.544,14.548,0,0,0
"0-3","Female","RX","Cardiovascular",2015,1.48,0.256,95.739,15.452,0.935,0.822,0.062
"0-3","Female","RX","Cardiovascular",2016,3.67,0.368,231.554,15.84,1.479,1.419,0.025
"0-3","Female","RX","Cardiovascular",2017,4.94,0.447,291.29,16.971,0.348,0.258,0.071
"0-3","Female","RX","Central Nervous System",2014,5.7,0.738,153.739,37.096,0,0,0
"0-3","Female","RX","Central Nervous System",2015,7.72,0.768,212.3,36.349,0.353,0.381,-0.02
"0-3","Female","RX","Central Nervous System",2016,9.55,0.69,272.12,35.107,0.238,0.282,-0.034
"0-3","Female","RX","Central Nervous System",2017,13.08,0.753,378.804,34.537,0.369,0.392,-0.016
"0-3","Female","RX","Chemotherapy",2014,0.32,0.025,251.086,1.26,0,0,0
"0-3","Female","RX","Chemotherapy",2015,0.48,0.03,371.312,1.279,0.501,0.479,0.015
"0-3","Female","RX","Chemotherapy",2016,0.58,0.043,326.234,1.785,0.227,-0.121,0.396
"0-3","Female","RX","Chemotherapy",2017,0.73,0.028,539.794,1.355,0.256,0.655,-0.241
"0-3","Female","RX","Devices",2014,1.13,0.65,67.903,16.692,0,0,0
"0-3","Female","RX","Devices",2015,1.28,0.704,74.226,17.297,0.133,0.093,0.036
"0-3","Female","RX","Devices",2016,1.36,0.696,79.812,17.003,0.057,0.075,-0.017
"0-3","Female","RX","Devices",2017,1.02,0.466,74.4,13.77,-0.245,-0.068,-0.19
"0-3","Female","RX","Diagnostic",2014,3.75,0.086,1577.04,2.375,0,0,0
"0-3","Female","RX","Diagnostic",2015,4.18,0.047,2081.7,2.008,0.116,0.32,-0.155
"0-3","Female","RX","Diagnostic",2016,3.56,0.053,1916.96,1.858,-0.148,-0.079,-0.074
"0-3","Female","RX","Diagnostic",2017,8.09,0.131,3220.02,2.514,1.272,0.68,0.353
"0-3","Female","RX","EENT",2014,11.68,5.072,93.954,124.285,0,0,0
"0-3","Female","RX","EENT",2015,13.11,5.32,108.133,121.24,0.123,0.151,-0.024
"0-3","Female","RX","EENT",2016,12.3,4.96,113.22,108.637,-0.062,0.047,-0.104
"0-3","Female","RX","EENT",2017,12.08,4.65,113.149,106.731,-0.018,-0.001,-0.018
"0-3","Female","RX","Enzymes",2014,0.05,0,10881,0.004,0,0,0
"0-3","Female","RX","Enzymes",2015,0.61,0.003,11494.19,0.053,11.868,0.056,11.181
"0-3","Female","RX","Enzymes",2016,2.39,0.021,16925.91,0.141,2.943,0.473,1.678
"0-3","Female","RX","Enzymes",2017,0.36,0.009,10463.86,0.035,-0.848,-0.382,-0.754
"0-3","Female","RX","Gastrointestinal",2014,9,2.994,55.962,160.861,0,0,0
"0-3","Female","RX","Gastrointestinal",2015,8.36,2.594,55.386,150.877,-0.072,-0.01,-0.062
"0-3","Female","RX","Gastrointestinal",2016,8.82,2.602,58.824,149.937,0.055,0.062,-0.006
"0-3","Female","RX","Gastrointestinal",2017,8.06,2.3,52.467,153.636,-0.086,-0.108,0.025
"0-3","Female","RX","Heavy Metal Antagonists",2014,0.1,0.004,1329.43,0.072,0,0,0
"0-3","Female","RX","Heavy Metal Antagonists",2015,0.14,0.001,1745.5,0.081,0.47,0.313,0.12
"0-3","Female","RX","Heavy Metal Antagonists",2016,0.38,0.015,1948.11,0.193,1.664,0.116,1.387
"0-3","Female","RX","Heavy Metal Antagonists",2017,0.31,0.006,2252.02,0.138,-0.173,0.156,-0.285
"0-3","Female","RX","Hormones",2014,5.28,1.751,118.966,44.336,0,0,0
"0-3","Female","RX","Hormones",2015,5.19,1.685,118.687,43.688,-0.017,-0.002,-0.015
"0-3","Female","RX","Hormones",2016,7.2,1.6,176.338,40.836,0.389,0.486,-0.065
"0-3","Female","RX","Hormones",2017,6.71,1.547,160.577,41.783,-0.068,-0.089,0.023
"0-3","Female","RX","Metabolic",2014,1.43,0.333,86.076,16.629,0,0,0
"0-3","Female","RX","Metabolic",2015,1.9,0.417,105.74,17.923,0.324,0.228,0.078
"0-3","Female","RX","Metabolic",2016,2.64,0.386,132.171,19.959,0.392,0.25,0.114
"0-3","Female","RX","Metabolic",2017,3.68,0.45,166.254,22.14,0.395,0.258,0.109
"0-3","Female","RX","Miscellaneous",2014,3.23,0.746,58.415,55.233,0,0,0
"0-3","Female","RX","Miscellaneous",2015,4.09,0.733,63.2,64.721,0.268,0.082,0.172
"0-3","Female","RX","Miscellaneous",2016,3.32,0.316,59.045,56.291,-0.187,-0.066,-0.13
"0-3","Female","RX","Miscellaneous",2017,6.05,0.252,105.745,57.177,0.819,0.791,0.016
"0-3","Female","RX","Respiratory",2014,22.17,3.568,161.849,136.958,0,0,0
"0-3","Female","RX","Respiratory",2015,21.36,3.51,156.567,136.395,-0.037,-0.033,-0.004
"0-3","Female","RX","Respiratory",2016,21.65,3.418,169.088,128.037,0.014,0.08,-0.061
"0-3","Female","RX","Respiratory",2017,21.47,3.284,176.026,121.988,-0.008,0.041,-0.047
"0-3","Female","RX","Rheumatoid Arthritis",2014,0.79,0.047,1466.24,0.541,0,0,0
"0-3","Female","RX","Rheumatoid Arthritis",2015,0.67,0.031,2255.78,0.299,-0.151,0.538,-0.448
"0-3","Female","RX","Rheumatoid Arthritis",2016,1.03,0.052,2951.83,0.349,0.532,0.309,0.171
"0-3","Female","RX","Rheumatoid Arthritis",2017,1.31,0.055,3503.58,0.374,0.27,0.187,0.07
"0-3","Female","RX","Skin",2014,14.83,4.408,92.316,160.617,0,0,0
"0-3","Female","RX","Skin",2015,12.35,4.119,82.733,149.235,-0.167,-0.104,-0.071
"0-3","Female","RX","Skin",2016,11.09,4.055,75.367,147.11,-0.102,-0.089,-0.014
"0-3","Female","RX","Skin",2017,10.71,3.997,70.918,150.975,-0.034,-0.059,0.026
"0-3","Female","RX","Smooth Muscle Relaxants",2014,0.03,0.009,23.878,1.277,0,0,0
"0-3","Female","RX","Smooth Muscle Relaxants",2015,0.02,0.009,16.301,1.053,-0.437,-0.317,-0.175
"0-3","Female","RX","Smooth Muscle Relaxants",2016,0.01,0.005,6.345,0.972,-0.641,-0.611,-0.077
"0-3","Female","RX","Smooth Muscle Relaxants",2017,0.01,0.006,7.44,1.075,0.296,0.173,0.106
"0-3","Female","RX","Vaccines",2014,0.02,0.002,356.12,0.061,0,0,0
"0-3","Female","RX","Vaccines",2015,0.04,0.012,603.882,0.072,1.023,0.696,0.193
"0-3","Female","RX","Vaccines",2016,0.03,0.005,379.994,0.066,-0.428,-0.371,-0.092
"0-3","Female","RX","Vaccines",2017,0.02,0.003,615.867,0.028,-0.315,0.621,-0.577
"0-3","Female","RX","Vitamins",2014,1.33,0.853,11.536,115.623,0,0,0
"0-3","Female","RX","Vitamins",2015,1.56,0.893,14.072,110.595,0.167,0.22,-0.043
"0-3","Female","RX","Vitamins",2016,1.57,0.867,14.94,104.953,0.007,0.062,-0.051
"0-3","Female","RX","Vitamins",2017,1.71,0.851,17.545,97.688,0.093,0.174,-0.069
"0-3","Female","RX","All Prescription Drugs",2014,67.72,13.011,387.425,174.796,0,0,0
"0-3","Female","RX","All Prescription Drugs",2015,67.51,11.821,418.681,161.24,-0.003,0.081,-0.078
"0-3","Female","RX","All Prescription Drugs",2016,75.3,11.1,506.418,148.684,0.115,0.21,-0.078
"0-3","Female","RX","All Prescription Drugs",2017,88.31,11.633,622.991,141.748,0.173,0.23,-0.047
"0-3","Female","RX","Anti-Infectives",2014,23.03,4.06,1070.51,21.508,0,0,0
"0-3","Female","RX","Anti-Infectives",2015,17.16,3.045,1146.73,14.96,-0.255,0.071,-0.304
"0-3","Female","RX","Anti-Infectives",2016,15.22,2.429,1378.06,11.041,-0.113,0.202,-0.262
"0-3","Female","RX","Anti-Infectives",2017,15.12,2.729,1408.37,10.734,-0.006,0.022,-0.028
"0-3","Female","RX","Antihistamines",2014,0.02,0.015,47.413,0.424,0,0,0
"0-3","Female","RX","Antihistamines",2015,0.03,0.02,59.925,0.482,0.434,0.264,0.135
"0-3","Female","RX","Antihistamines",2016,0.05,0.023,89.05,0.575,0.774,0.486,0.194
"0-3","Female","RX","Antihistamines",2017,0.03,0.017,77.424,0.428,-0.353,-0.131,-0.256
"0-3","Female","RX","Autonomic",2014,2.78,1.159,91.163,30.501,0,0,0
"0-3","Female","RX","Autonomic",2015,3.28,1.196,102.353,32.069,0.18,0.123,0.051
"0-3","Female","RX","Autonomic",2016,2.35,1.101,79.765,29.499,-0.283,-0.221,-0.08
"0-3","Female","RX","Autonomic",2017,5.54,1.499,185.163,29.918,1.354,1.321,0.014
"0-3","Female","RX","Bio Response Modifiers",2014,0.09,0,20539.12,0.005,0,0,0
"0-3","Female","RX","Bio Response Modifiers",2016,0.05,0,5239.46,0.009,0,0,0
"0-3","Female","RX","Blood",2014,0.84,0.019,1109.29,0.758,0,0,0
"0-3","Female","RX","Blood",2015,0.95,0.024,1410.99,0.676,0.136,0.272,-0.107
"0-3","Female","RX","Blood",2016,1.02,0.033,2354.28,0.433,0.068,0.669,-0.36
"0-3","Female","RX","Blood",2017,1.02,0.03,4619.47,0.221,0.004,0.962,-0.488
"0-3","Female","RX","Cardiovascular",2014,0.41,0.034,475.759,0.862,0,0,0
"0-3","Female","RX","Cardiovascular",2015,1.15,0.111,587.384,1.965,1.815,0.235,1.28
"0-3","Female","RX","Cardiovascular",2016,3.4,0.232,1018.24,3.341,1.947,0.734,0.7
"0-3","Female","RX","Cardiovascular",2017,4.66,0.316,1212.08,3.843,0.369,0.19,0.15
"0-3","Female","RX","Central Nervous System",2014,4.01,0.205,1197.24,3.347,0,0,0
"0-3","Female","RX","Central Nervous System",2015,6.09,0.259,1983.76,3.07,0.52,0.657,-0.083
"0-3","Female","RX","Central Nervous System",2016,8.02,0.217,2927.67,2.741,0.318,0.476,-0.107
"0-3","Female","RX","Central Nervous System",2017,11.37,0.329,3652.6,3.112,0.417,0.248,0.135
"0-3","Female","RX","Chemotherapy",2014,0.25,0.009,1813.72,0.135,0,0,0
"0-3","Female","RX","Chemotherapy",2015,0.36,0.021,1278,0.283,0.471,-0.295,1.088
"0-3","Female","RX","Chemotherapy",2016,0.46,0.025,1383.2,0.332,0.271,0.082,0.174
"0-3","Female","RX","Chemotherapy",2017,0.68,0.011,1982.42,0.344,0.484,0.433,0.036
"0-3","Female","RX","Devices",2014,0.14,0.042,185.696,0.731,0,0,0
"0-3","Female","RX","Devices",2015,0.22,0.061,261.916,0.822,0.586,0.41,0.124
"0-3","Female","RX","Devices",2016,0.19,0.051,288.584,0.667,-0.106,0.102,-0.189
"0-3","Female","RX","Devices",2017,0.06,0.02,310.032,0.202,-0.675,0.074,-0.698
"0-3","Female","RX","Diagnostic",2014,3.2,0.025,80673.68,0.04,0,0,0
"0-3","Female","RX","Diagnostic",2015,3.69,0.004,68601.27,0.054,0.154,-0.15,0.357
"0-3","Female","RX","Diagnostic",2016,3.07,0.01,73256.13,0.042,-0.167,0.068,-0.22
"0-3","Female","RX","Diagnostic",2017,7.46,0.07,78118.15,0.095,1.426,0.066,1.275
"0-3","Female","RX","EENT",2014,8.5,3.155,279.607,30.386,0,0,0
"0-3","Female","RX","EENT",2015,9.16,3.173,355.195,25.773,0.077,0.27,-0.152
"0-3","Female","RX","EENT",2016,8.53,2.9,447.832,19.053,-0.068,0.261,-0.261
"0-3","Female","RX","EENT",2017,6.87,2.368,525.633,13.06,-0.195,0.174,-0.315
"0-3","Female","RX","Enzymes",2014,0.05,0,10881,0.004,0,0,0
"0-3","Female","RX","Enzymes",2015,0.38,0,26635.91,0.014,7.047,1.448,2.287
"0-3","Female","RX","Enzymes",2016,2.06,0.001,21933.89,0.094,4.433,-0.177,5.597
"0-3","Female","RX","Enzymes",2017,0.15,0,26051.76,0.006,-0.926,0.188,-0.938
"0-3","Female","RX","Gastrointestinal",2014,5.54,1.114,280.907,19.732,0,0,0
"0-3","Female","RX","Gastrointestinal",2015,5.51,0.926,319.551,17.249,-0.006,0.138,-0.126
"0-3","Female","RX","Gastrointestinal",2016,6.42,1.095,353.972,18.132,0.164,0.108,0.051
"0-3","Female","RX","Gastrointestinal",2017,5.6,0.981,374.436,14.953,-0.128,0.058,-0.175
"0-3","Female","RX","Heavy Metal Antagonists",2014,0.09,0.004,1373.23,0.069,0,0,0
"0-3","Female","RX","Heavy Metal Antagonists",2015,0.14,0.001,1745.5,0.081,0.499,0.271,0.179
"0-3","Female","RX","Heavy Metal Antagonists",2016,0.38,0.015,1948.11,0.193,1.664,0.116,1.387
"0-3","Female","RX","Heavy Metal Antagonists",2017,0.31,0.006,2408.51,0.129,-0.174,0.236,-0.332
"0-3","Female","RX","Hormones",2014,4.03,0.833,295.77,13.633,0,0,0
