"Year","cbsa_title","state","geo_level","metric_type","moment","service_category","service","index_name","index_value","index_change"
2017,"State-CO","CO","State","Index","Mean","Inpatient","Basket","Use",-0.07168562,-0.043455083
2014,"State-CT","CT","State","Index","Mean","Inpatient","Basket","Use",-0.068750843,-0.006370977
2015,"State-CT","CT","State","Index","Mean","Inpatient","Basket","Use",-0.08636608,-0.048963606
2016,"State-CT","CT","State","Index","Mean","Inpatient","Basket","Use",-0.055607114,-0.027043646
2017,"State-CT","CT","State","Index","Mean","Inpatient","Basket","Use",-0.094655737,-0.0031553956
2014,"State-DC","DC","State","Index","Mean","Inpatient","Basket","Use",0.048633296,0.002481336
2015,"State-DC","DC","State","Index","Mean","Inpatient","Basket","Use",0.01850274,-0.050092317
2016,"State-DC","DC","State","Index","Mean","Inpatient","Basket","Use",0.02167088,-0.056925625
2017,"State-DC","DC","State","Index","Mean","Inpatient","Basket","Use",0.052963279,0.038774338
2014,"State-DE","DE","State","Index","Mean","Inpatient","Basket","Use",0.033057574,-0.052634038
2015,"State-DE","DE","State","Index","Mean","Inpatient","Basket","Use",0.10866969,-0.0081135202
2016,"State-DE","DE","State","Index","Mean","Inpatient","Basket","Use",0.055713519,-0.065193743
2017,"State-DE","DE","State","Index","Mean","Inpatient","Basket","Use",-0.0039068367,-0.057354189
2014,"State-FL","FL","State","Index","Mean","Inpatient","Basket","Use",-0.01651461,-0.058312189
2015,"State-FL","FL","State","Index","Mean","Inpatient","Basket","Use",-0.017817823,-0.082517833
2016,"State-FL","FL","State","Index","Mean","Inpatient","Basket","Use",0.006798056,-0.069184341
2017,"State-FL","FL","State","Index","Mean","Inpatient","Basket","Use",-0.024566807,-0.036188953
2014,"State-GA","GA","State","Index","Mean","Inpatient","Basket","Use",-0.033097032,-0.050596014
2015,"State-GA","GA","State","Index","Mean","Inpatient","Basket","Use",-0.023213562,-0.06430497
2016,"State-GA","GA","State","Index","Mean","Inpatient","Basket","Use",-0.028369343,-0.078804851
2017,"State-GA","GA","State","Index","Mean","Inpatient","Basket","Use",-0.00030832371,0.012953628
2014,"State-IA","IA","State","Index","Mean","Inpatient","Basket","Use",0.079392478,-0.054093357
2015,"State-IA","IA","State","Index","Mean","Inpatient","Basket","Use",0.096284769,-0.062742732
2016,"State-IA","IA","State","Index","Mean","Inpatient","Basket","Use",0.065137602,-0.098725915
2017,"State-IA","IA","State","Index","Mean","Inpatient","Basket","Use",0.10826489,0.0022309143
2014,"State-IL","IL","State","Index","Mean","Inpatient","Basket","Use",0.0077864719,-0.033417996
2015,"State-IL","IL","State","Index","Mean","Inpatient","Basket","Use",0.00066624285,-0.063676387
2016,"State-IL","IL","State","Index","Mean","Inpatient","Basket","Use",-0.039464202,-0.11045891
2017,"State-IL","IL","State","Index","Mean","Inpatient","Basket","Use",-0.02893455,-0.038887966
2014,"State-IN","IN","State","Index","Mean","Inpatient","Basket","Use",0.062896267,-0.047392134
2015,"State-IN","IN","State","Index","Mean","Inpatient","Basket","Use",0.03923833,-0.091332525
2016,"State-IN","IN","State","Index","Mean","Inpatient","Basket","Use",-0.0033127433,-0.13748935
2017,"State-IN","IN","State","Index","Mean","Inpatient","Basket","Use",0.014429714,-0.061788883
2014,"State-KS","KS","State","Index","Mean","Inpatient","Basket","Use",0.048218839,-0.044384174
2015,"State-KS","KS","State","Index","Mean","Inpatient","Basket","Use",0.001876413,-0.10892949
2016,"State-KS","KS","State","Index","Mean","Inpatient","Basket","Use",0.043707643,-0.081260234
2017,"State-KS","KS","State","Index","Mean","Inpatient","Basket","Use",0.025085298,-0.035623297
2014,"State-KY","KY","State","Index","Mean","Inpatient","Basket","Use",0.24020146,-0.068908885
2015,"State-KY","KY","State","Index","Mean","Inpatient","Basket","Use",0.15526056,-0.15385179
2016,"State-KY","KY","State","Index","Mean","Inpatient","Basket","Use",0.10822857,-0.19663748
2017,"State-KY","KY","State","Index","Mean","Inpatient","Basket","Use",0.11529495,-0.13593778
2014,"State-LA","LA","State","Index","Mean","Inpatient","Basket","Use",0.0074656452,-0.016713021
2015,"State-LA","LA","State","Index","Mean","Inpatient","Basket","Use",-0.0087835351,-0.05618887
2016,"State-LA","LA","State","Index","Mean","Inpatient","Basket","Use",0.01378755,-0.044613119
2017,"State-LA","LA","State","Index","Mean","Inpatient","Basket","Use",-0.037810579,-0.030905895
2014,"State-MA","MA","State","Index","Mean","Inpatient","Basket","Use",-0.13854554,-0.054578636
2015,"State-MA","MA","State","Index","Mean","Inpatient","Basket","Use",-0.1192119,-0.056957912
2016,"State-MA","MA","State","Index","Mean","Inpatient","Basket","Use",-0.092374809,-0.038206343
2017,"State-MA","MA","State","Index","Mean","Inpatient","Basket","Use",-0.089958154,0.03064663
2014,"State-MD","MD","State","Index","Mean","Inpatient","Basket","Use",0.03865895,-0.036984567
2015,"State-MD","MD","State","Index","Mean","Inpatient","Basket","Use",0.026119886,-0.071835555
2016,"State-MD","MD","State","Index","Mean","Inpatient","Basket","Use",0.025436666,-0.081981577
2017,"State-MD","MD","State","Index","Mean","Inpatient","Basket","Use",0.0046657785,-0.038748078
2014,"State-ME","ME","State","Index","Mean","Inpatient","Basket","Use",-0.067584693,-0.007854471
2015,"State-ME","ME","State","Index","Mean","Inpatient","Basket","Use",-0.069031954,-0.033576891
2016,"State-ME","ME","State","Index","Mean","Inpatient","Basket","Use",-0.030050613,-0.0034540363
2017,"State-ME","ME","State","Index","Mean","Inpatient","Basket","Use",-0.11178804,-0.024700658
2014,"State-MN","MN","State","Index","Mean","Inpatient","Basket","Use",0.099758878,-0.0679745
2015,"State-MN","MN","State","Index","Mean","Inpatient","Basket","Use",0.072293349,-0.11343522
2016,"State-MN","MN","State","Index","Mean","Inpatient","Basket","Use",0.077753782,-0.11807399
2017,"State-MN","MN","State","Index","Mean","Inpatient","Basket","Use",0.18666668,0.037801754
2014,"State-MO","MO","State","Index","Mean","Inpatient","Basket","Use",0.11291145,-0.042907532
2015,"State-MO","MO","State","Index","Mean","Inpatient","Basket","Use",0.072656713,-0.10004543
2016,"State-MO","MO","State","Index","Mean","Inpatient","Basket","Use",0.021381974,-0.1518674
2017,"State-MO","MO","State","Index","Mean","Inpatient","Basket","Use",0.02433723,-0.090942033
2014,"State-MS","MS","State","Index","Mean","Inpatient","Basket","Use",-0.044880204,-0.033999301
2015,"State-MS","MS","State","Index","Mean","Inpatient","Basket","Use",-0.089967892,-0.10206923
2016,"State-MS","MS","State","Index","Mean","Inpatient","Basket","Use",-0.027740171,-0.05052352
2017,"State-MS","MS","State","Index","Mean","Inpatient","Basket","Use",-0.027528444,0.01496679
2014,"State-NC","NC","State","Index","Mean","Inpatient","Basket","Use",-0.09706787,-0.058496974
2015,"State-NC","NC","State","Index","Mean","Inpatient","Basket","Use",-0.080061749,-0.064181052
2016,"State-NC","NC","State","Index","Mean","Inpatient","Basket","Use",-0.070532426,-0.064199798
2017,"State-NC","NC","State","Index","Mean","Inpatient","Basket","Use",-0.05662575,0.015093299
2014,"State-ND","ND","State","Index","Mean","Inpatient","Basket","Use",-0.46170694,0.0071797352
2015,"State-ND","ND","State","Index","Mean","Inpatient","Basket","Use",-0.50003821,-0.087376639
2016,"State-ND","ND","State","Index","Mean","Inpatient","Basket","Use",0.21011494,1.1862363
2017,"State-ND","ND","State","Index","Mean","Inpatient","Basket","Use",0.27126443,1.4545926
2014,"State-NE","NE","State","Index","Mean","Inpatient","Basket","Use",0.12182775,-0.033094455
2015,"State-NE","NE","State","Index","Mean","Inpatient","Basket","Use",0.1280684,-0.051450823
2016,"State-NE","NE","State","Index","Mean","Inpatient","Basket","Use",0.10764489,-0.078191526
2017,"State-NE","NE","State","Index","Mean","Inpatient","Basket","Use",0.13299206,0.0077204416
2014,"State-NH","NH","State","Index","Mean","Inpatient","Basket","Use",-0.13809176,-0.040069938
2015,"State-NH","NH","State","Index","Mean","Inpatient","Basket","Use",-0.13220853,-0.057111185
2016,"State-NH","NH","State","Index","Mean","Inpatient","Basket","Use",-0.1167715,-0.050196186
2017,"State-NH","NH","State","Index","Mean","Inpatient","Basket","Use",-0.071604177,0.067006499
2014,"State-NJ","NJ","State","Index","Mean","Inpatient","Basket","Use",-0.074110299,-0.009116143
2015,"State-NJ","NJ","State","Index","Mean","Inpatient","Basket","Use",-0.068120517,-0.027051631
2016,"State-NJ","NJ","State","Index","Mean","Inpatient","Basket","Use",-0.046115678,-0.014307419
2017,"State-NJ","NJ","State","Index","Mean","Inpatient","Basket","Use",-0.077136643,0.019192535
2014,"State-NM","NM","State","Index","Mean","Inpatient","Basket","Use",-0.037803315,-0.029259637
2015,"State-NM","NM","State","Index","Mean","Inpatient","Basket","Use",-0.076982468,-0.091519251
2016,"State-NM","NM","State","Index","Mean","Inpatient","Basket","Use",-0.069424964,-0.093489364
2017,"State-NM","NM","State","Index","Mean","Inpatient","Basket","Use",-0.038124107,0.0014138736
2014,"State-NV","NV","State","Index","Mean","Inpatient","Basket","Use",-0.13608614,-0.054480787
2015,"State-NV","NV","State","Index","Mean","Inpatient","Basket","Use",-0.13796149,-0.079565004
2016,"State-NV","NV","State","Index","Mean","Inpatient","Basket","Use",-0.12615916,-0.076547563
2017,"State-NV","NV","State","Index","Mean","Inpatient","Basket","Use",-0.14464241,-0.033942539
2014,"State-NY","NY","State","Index","Mean","Inpatient","Basket","Use",0.014876513,-0.0048989258
2015,"State-NY","NY","State","Index","Mean","Inpatient","Basket","Use",0.035023138,-0.0099192932
2016,"State-NY","NY","State","Index","Mean","Inpatient","Basket","Use",0.045398097,-0.010267171
2017,"State-NY","NY","State","Index","Mean","Inpatient","Basket","Use",0.038882814,0.051177088
2014,"State-OH","OH","State","Index","Mean","Inpatient","Basket","Use",0.093717828,-0.055425029
2015,"State-OH","OH","State","Index","Mean","Inpatient","Basket","Use",0.076610513,-0.092897631
2016,"State-OH","OH","State","Index","Mean","Inpatient","Basket","Use",0.071274996,-0.10666493
2017,"State-OH","OH","State","Index","Mean","Inpatient","Basket","Use",0.081745654,-0.035923194
2014,"State-OK","OK","State","Index","Mean","Inpatient","Basket","Use",0.0096248612,-0.080279231
2015,"State-OK","OK","State","Index","Mean","Inpatient","Basket","Use",0.02877954,-0.085708208
2016,"State-OK","OK","State","Index","Mean","Inpatient","Basket","Use",0.055133332,-0.071919657
2017,"State-OK","OK","State","Index","Mean","Inpatient","Basket","Use",0.047699798,-0.015109047
2014,"State-OR","OR","State","Index","Mean","Inpatient","Basket","Use",-0.11629648,-0.058879532
2015,"State-OR","OR","State","Index","Mean","Inpatient","Basket","Use",-0.11479827,-0.080297366
2016,"State-OR","OR","State","Index","Mean","Inpatient","Basket","Use",-0.10580266,-0.080494605
2017,"State-OR","OR","State","Index","Mean","Inpatient","Basket","Use",-0.052686118,0.041089021
2014,"State-PA","PA","State","Index","Mean","Inpatient","Basket","Use",-0.022856578,-0.024639256
2015,"State-PA","PA","State","Index","Mean","Inpatient","Basket","Use",-0.030342249,-0.055739161
2016,"State-PA","PA","State","Index","Mean","Inpatient","Basket","Use",-0.014077019,-0.049762364
2017,"State-PA","PA","State","Index","Mean","Inpatient","Basket","Use",-0.027643496,0.0015850081
2014,"State-RI","RI","State","Index","Mean","Inpatient","Basket","Use",-0.039756447,-0.041424073
2015,"State-RI","RI","State","Index","Mean","Inpatient","Basket","Use",-0.033944748,-0.059164643
2016,"State-RI","RI","State","Index","Mean","Inpatient","Basket","Use",0.0051271576,-0.031168161
2017,"State-RI","RI","State","Index","Mean","Inpatient","Basket","Use",0.041090887,0.07247974
2014,"State-SC","SC","State","Index","Mean","Inpatient","Basket","Use",-0.006690606,-0.046657104
2015,"State-SC","SC","State","Index","Mean","Inpatient","Basket","Use",-0.0061620353,-0.069434986
2016,"State-SC","SC","State","Index","Mean","Inpatient","Basket","Use",-0.01695459,-0.088995658
2017,"State-SC","SC","State","Index","Mean","Inpatient","Basket","Use",0.032556973,0.022666309
2014,"State-TN","TN","State","Index","Mean","Inpatient","Basket","Use",0.029225875,-0.0099262865
2015,"State-TN","TN","State","Index","Mean","Inpatient","Basket","Use",0.0099325469,-0.052202087
2016,"State-TN","TN","State","Index","Mean","Inpatient","Basket","Use",0.011956516,-0.060058203
2017,"State-TN","TN","State","Index","Mean","Inpatient","Basket","Use",0.016112575,0.0086813513
2014,"State-TX","TX","State","Index","Mean","Inpatient","Basket","Use",0.052596271,-0.031066604
2015,"State-TX","TX","State","Index","Mean","Inpatient","Basket","Use",0.055811539,-0.051832542
2016,"State-TX","TX","State","Index","Mean","Inpatient","Basket","Use",0.066860922,-0.051751461
2017,"State-TX","TX","State","Index","Mean","Inpatient","Basket","Use",0.031185361,-0.020455506
2014,"State-UT","UT","State","Index","Mean","Inpatient","Basket","Use",0.29641756,-0.058412593
2015,"State-UT","UT","State","Index","Mean","Inpatient","Basket","Use",0.24064626,-0.12091625
2016,"State-UT","UT","State","Index","Mean","Inpatient","Basket","Use",0.21596555,-0.14725479
2017,"State-UT","UT","State","Index","Mean","Inpatient","Basket","Use",0.24811886,-0.064536124
2014,"State-VA","VA","State","Index","Mean","Inpatient","Basket","Use",0.043688413,-0.029783124
2015,"State-VA","VA","State","Index","Mean","Inpatient","Basket","Use",0.012211217,-0.082014859
2016,"State-VA","VA","State","Index","Mean","Inpatient","Basket","Use",0.029465489,-0.075957321
2017,"State-VA","VA","State","Index","Mean","Inpatient","Basket","Use",0.025353283,-0.0163812
2014,"State-WA","WA","State","Index","Mean","Inpatient","Basket","Use",-0.087450974,-0.063125536
2015,"State-WA","WA","State","Index","Mean","Inpatient","Basket","Use",-0.099375747,-0.097940095
2016,"State-WA","WA","State","Index","Mean","Inpatient","Basket","Use",-0.11194512,-0.1196664
2017,"State-WA","WA","State","Index","Mean","Inpatient","Basket","Use",-0.13220599,-0.080615498
2014,"State-WI","WI","State","Index","Mean","Inpatient","Basket","Use",0.035034902,-0.045723833
2015,"State-WI","WI","State","Index","Mean","Inpatient","Basket","Use",0.042771507,-0.062060591
2016,"State-WI","WI","State","Index","Mean","Inpatient","Basket","Use",0.034519795,-0.07904128
2017,"State-WI","WI","State","Index","Mean","Inpatient","Basket","Use",0.038382854,-0.012056921
2014,"State-AK","AK","State","Index","Mean","Outpatient","Basket","Use",0.48340452,0.086341031
2015,"State-AK","AK","State","Index","Mean","Outpatient","Basket","Use",0.53562999,0.12104966
2016,"State-AK","AK","State","Index","Mean","Outpatient","Basket","Use",0.42404369,0.077652283
2017,"State-AK","AK","State","Index","Mean","Outpatient","Basket","Use",0.40291223,0.0901016
2014,"State-AR","AR","State","Index","Mean","Outpatient","Basket","Use",-0.18098037,-0.0024523104
2015,"State-AR","AR","State","Index","Mean","Outpatient","Basket","Use",-0.1757699,0.00073594949
2016,"State-AR","AR","State","Index","Mean","Outpatient","Basket","Use",-0.14013708,0.082224429
2017,"State-AR","AR","State","Index","Mean","Outpatient","Basket","Use",-0.22102001,0.0066894884
2014,"State-AZ","AZ","State","Index","Mean","Outpatient","Basket","Use",-0.47103953,-0.019781327
2015,"State-AZ","AZ","State","Index","Mean","Outpatient","Basket","Use",-0.44823688,0.01925792
2016,"State-AZ","AZ","State","Index","Mean","Outpatient","Basket","Use",-0.49376684,-0.030608756
2017,"State-AZ","AZ","State","Index","Mean","Outpatient","Basket","Use",-0.50294995,-0.022695884
2014,"State-CA","CA","State","Index","Mean","Outpatient","Basket","Use",-0.41606015,-0.10254651
2015,"State-CA","CA","State","Index","Mean","Outpatient","Basket","Use",-0.41672352,-0.10638598
2016,"State-CA","CA","State","Index","Mean","Outpatient","Basket","Use",-0.38204071,-0.018585555
2017,"State-CA","CA","State","Index","Mean","Outpatient","Basket","Use",-0.38302502,0.0061002811
2014,"State-CO","CO","State","Index","Mean","Outpatient","Basket","Use",-0.27427411,-0.012347761
2015,"State-CO","CO","State","Index","Mean","Outpatient","Basket","Use",-0.29080352,-0.037879027
2016,"State-CO","CO","State","Index","Mean","Outpatient","Basket","Use",-0.32138425,-0.045657795
2017,"State-CO","CO","State","Index","Mean","Outpatient","Basket","Use",-0.33671618,-0.042231094
2014,"State-CT","CT","State","Index","Mean","Outpatient","Basket","Use",0.42588294,-0.023793222
2015,"State-CT","CT","State","Index","Mean","Outpatient","Basket","Use",0.42904896,-0.024703367
2016,"State-CT","CT","State","Index","Mean","Outpatient","Basket","Use",0.44041795,0.019049369
2017,"State-CT","CT","State","Index","Mean","Outpatient","Basket","Use",0.33373088,-0.031151131
2014,"State-DC","DC","State","Index","Mean","Outpatient","Basket","Use",-0.34559324,-0.031347416
2015,"State-DC","DC","State","Index","Mean","Outpatient","Basket","Use",-0.33182901,-0.014084784
2016,"State-DC","DC","State","Index","Mean","Outpatient","Basket","Use",-0.36260945,-0.025067281
2017,"State-DC","DC","State","Index","Mean","Outpatient","Basket","Use",-0.36814636,-0.0076459255
2014,"State-DE","DE","State","Index","Mean","Outpatient","Basket","Use",0.18169084,-0.034074929
2015,"State-DE","DE","State","Index","Mean","Outpatient","Basket","Use",0.1825584,-0.036406551
2016,"State-DE","DE","State","Index","Mean","Outpatient","Basket","Use",0.16845906,-0.013034827
2017,"State-DE","DE","State","Index","Mean","Outpatient","Basket","Use",0.18570802,0.028364819
2014,"State-FL","FL","State","Index","Mean","Outpatient","Basket","Use",-0.13967858,-0.016395988
2015,"State-FL","FL","State","Index","Mean","Outpatient","Basket","Use",-0.13428776,-0.013346203
2016,"State-FL","FL","State","Index","Mean","Outpatient","Basket","Use",-0.15712619,-0.0042028651
2017,"State-FL","FL","State","Index","Mean","Outpatient","Basket","Use",-0.18598659,-0.012536617
2014,"State-GA","GA","State","Index","Mean","Outpatient","Basket","Use",-0.26483035,-0.082780823
2015,"State-GA","GA","State","Index","Mean","Outpatient","Basket","Use",-0.23547494,-0.049156666
2016,"State-GA","GA","State","Index","Mean","Outpatient","Basket","Use",-0.24731745,-0.029610317
2017,"State-GA","GA","State","Index","Mean","Outpatient","Basket","Use",-0.21111776,0.04430566
2014,"State-IA","IA","State","Index","Mean","Outpatient","Basket","Use",0.28430673,-0.019908005
2015,"State-IA","IA","State","Index","Mean","Outpatient","Basket","Use",0.19521572,-0.090765186
2016,"State-IA","IA","State","Index","Mean","Outpatient","Basket","Use",0.19311245,-0.059133027
2017,"State-IA","IA","State","Index","Mean","Outpatient","Basket","Use",0.16097775,-0.05994802
2014,"State-IL","IL","State","Index","Mean","Outpatient","Basket","Use",0.27001131,-0.011899158
2015,"State-IL","IL","State","Index","Mean","Outpatient","Basket","Use",0.30336082,0.010857693
2016,"State-IL","IL","State","Index","Mean","Outpatient","Basket","Use",0.26325849,0.015628023
2017,"State-IL","IL","State","Index","Mean","Outpatient","Basket","Use",0.38892552,0.14657517
2014,"State-IN","IN","State","Index","Mean","Outpatient","Basket","Use",0.50721294,-0.037088659
2015,"State-IN","IN","State","Index","Mean","Outpatient","Basket","Use",0.47988018,-0.057524808
2016,"State-IN","IN","State","Index","Mean","Outpatient","Basket","Use",0.45052785,-0.042394724
2017,"State-IN","IN","State","Index","Mean","Outpatient","Basket","Use",0.44608116,-0.019755878
2014,"State-KS","KS","State","Index","Mean","Outpatient","Basket","Use",-0.12992129,-0.012818638
2015,"State-KS","KS","State","Index","Mean","Outpatient","Basket","Use",-0.16397437,-0.05443874
2016,"State-KS","KS","State","Index","Mean","Outpatient","Basket","Use",-0.13613382,0.012823191
2017,"State-KS","KS","State","Index","Mean","Outpatient","Basket","Use",-0.16804631,0.0015380187
2014,"State-KY","KY","State","Index","Mean","Outpatient","Basket","Use",0.12178759,-0.078635752
2015,"State-KY","KY","State","Index","Mean","Outpatient","Basket","Use",0.057475541,-0.13418972
2016,"State-KY","KY","State","Index","Mean","Outpatient","Basket","Use",-0.014157298,-0.16328585
2017,"State-KY","KY","State","Index","Mean","Outpatient","Basket","Use",0.039110005,-0.094450623
2014,"State-LA","LA","State","Index","Mean","Outpatient","Basket","Use",0.59774876,0.025013806
2015,"State-LA","LA","State","Index","Mean","Outpatient","Basket","Use",0.60497111,0.026408218
2016,"State-LA","LA","State","Index","Mean","Outpatient","Basket","Use",0.60459411,0.063739263
2017,"State-LA","LA","State","Index","Mean","Outpatient","Basket","Use",0.48739734,0.012460563
2014,"State-MA","MA","State","Index","Mean","Outpatient","Basket","Use",1.1825897,-0.045382943
2015,"State-MA","MA","State","Index","Mean","Outpatient","Basket","Use",1.1144698,-0.078086331
2016,"State-MA","MA","State","Index","Mean","Outpatient","Basket","Use",1.1102686,-0.046230137
2017,"State-MA","MA","State","Index","Mean","Outpatient","Basket","Use",1.0603255,-0.043857049
2014,"State-MD","MD","State","Index","Mean","Outpatient","Basket","Use",-0.0052339518,0.0069333548
2015,"State-MD","MD","State","Index","Mean","Outpatient","Basket","Use",-0.010165825,-0.0012106735
2016,"State-MD","MD","State","Index","Mean","Outpatient","Basket","Use",-0.066044815,-0.023089962
2017,"State-MD","MD","State","Index","Mean","Outpatient","Basket","Use",-0.092636943,-0.025480013
2014,"State-ME","ME","State","Index","Mean","Outpatient","Basket","Use",1.2778268,-0.046268802
2015,"State-ME","ME","State","Index","Mean","Outpatient","Basket","Use",1.1627828,-0.097286604
2016,"State-ME","ME","State","Index","Mean","Outpatient","Basket","Use",1.0048755,-0.13255595
2017,"State-ME","ME","State","Index","Mean","Outpatient","Basket","Use",0.78021234,-0.20912656
2014,"State-MN","MN","State","Index","Mean","Outpatient","Basket","Use",-0.022490382,-0.079379052
2015,"State-MN","MN","State","Index","Mean","Outpatient","Basket","Use",-0.092404045,-0.1479128
2016,"State-MN","MN","State","Index","Mean","Outpatient","Basket","Use",-0.15697677,-0.17955758
2017,"State-MN","MN","State","Index","Mean","Outpatient","Basket","Use",-0.16383471,-0.16443193
2014,"State-MO","MO","State","Index","Mean","Outpatient","Basket","Use",0.18540008,0.083894134
2015,"State-MO","MO","State","Index","Mean","Outpatient","Basket","Use",0.046453588,-0.046164338
2016,"State-MO","MO","State","Index","Mean","Outpatient","Basket","Use",0.071421519,0.012350808
2017,"State-MO","MO","State","Index","Mean","Outpatient","Basket","Use",0.040365711,0.009340792
2014,"State-MS","MS","State","Index","Mean","Outpatient","Basket","Use",0.10586594,-0.017266551
2015,"State-MS","MS","State","Index","Mean","Outpatient","Basket","Use",0.094770886,-0.030186621
2016,"State-MS","MS","State","Index","Mean","Outpatient","Basket","Use",0.10575778,0.015411365
2017,"State-MS","MS","State","Index","Mean","Outpatient","Basket","Use",0.095529482,0.032968815
2014,"State-NC","NC","State","Index","Mean","Outpatient","Basket","Use",-0.064033464,-0.03257376
2015,"State-NC","NC","State","Index","Mean","Outpatient","Basket","Use",-0.020241832,0.0095041534
2016,"State-NC","NC","State","Index","Mean","Outpatient","Basket","Use",0.031154178,0.10136154
2017,"State-NC","NC","State","Index","Mean","Outpatient","Basket","Use",0.015680334,0.11389556
2014,"State-ND","ND","State","Index","Mean","Outpatient","Basket","Use",-0.38886774,0.096925713
2015,"State-ND","ND","State","Index","Mean","Outpatient","Basket","Use",-0.38621408,0.098223165
2016,"State-ND","ND","State","Index","Mean","Outpatient","Basket","Use",0.2968317,1.4053285
2017,"State-ND","ND","State","Index","Mean","Outpatient","Basket","Use",0.22988184,1.342261
2014,"State-NE","NE","State","Index","Mean","Outpatient","Basket","Use",0.13930716,-0.014903512
2015,"State-NE","NE","State","Index","Mean","Outpatient","Basket","Use",0.097114697,-0.054369107
2016,"State-NE","NE","State","Index","Mean","Outpatient","Basket","Use",0.049304742,-0.062463161
2017,"State-NE","NE","State","Index","Mean","Outpatient","Basket","Use",0.071860425,-0.016654652
2014,"State-NH","NH","State","Index","Mean","Outpatient","Basket","Use",1.3268052,-0.058268066
2015,"State-NH","NH","State","Index","Mean","Outpatient","Basket","Use",1.2019992,-0.1115846
2016,"State-NH","NH","State","Index","Mean","Outpatient","Basket","Use",1.1304449,-0.10898234
2017,"State-NH","NH","State","Index","Mean","Outpatient","Basket","Use",1.0870543,-0.10374644
2014,"State-NJ","NJ","State","Index","Mean","Outpatient","Basket","Use",-0.18627194,0.049039014
2015,"State-NJ","NJ","State","Index","Mean","Outpatient","Basket","Use",-0.16990252,0.066775709
2016,"State-NJ","NJ","State","Index","Mean","Outpatient","Basket","Use",-0.17629701,0.097316101
2017,"State-NJ","NJ","State","Index","Mean","Outpatient","Basket","Use",-0.22458601,0.0606592
2014,"State-NM","NM","State","Index","Mean","Outpatient","Basket","Use",0.29126287,-0.0043956218
2015,"State-NM","NM","State","Index","Mean","Outpatient","Basket","Use",0.17442991,-0.097326048
2016,"State-NM","NM","State","Index","Mean","Outpatient","Basket","Use",0.16807085,-0.069342077
2017,"State-NM","NM","State","Index","Mean","Outpatient","Basket","Use",0.24409573,0.017784465
2014,"State-NV","NV","State","Index","Mean","Outpatient","Basket","Use",-0.36636335,-0.052821901
2015,"State-NV","NV","State","Index","Mean","Outpatient","Basket","Use",-0.36864901,-0.059207372
2016,"State-NV","NV","State","Index","Mean","Outpatient","Basket","Use",-0.4231126,-0.10889032
2017,"State-NV","NV","State","Index","Mean","Outpatient","Basket","Use",-0.42342383,-0.085512161
2014,"State-NY","NY","State","Index","Mean","Outpatient","Basket","Use",-0.098871835,-0.0072546238
2015,"State-NY","NY","State","Index","Mean","Outpatient","Basket","Use",-0.11008462,-0.022691462
2016,"State-NY","NY","State","Index","Mean","Outpatient","Basket","Use",-0.088878997,0.037232526
2017,"State-NY","NY","State","Index","Mean","Outpatient","Basket","Use",-0.1669347,-0.02622137
2014,"State-OH","OH","State","Index","Mean","Outpatient","Basket","Use",0.39476106,-0.021222461
2015,"State-OH","OH","State","Index","Mean","Outpatient","Basket","Use",0.39906624,-0.02128977
2016,"State-OH","OH","State","Index","Mean","Outpatient","Basket","Use",0.39603746,0.012348423
2017,"State-OH","OH","State","Index","Mean","Outpatient","Basket","Use",0.37417236,0.023187617
